STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SWD,D,304,SNWCAVG,20220101 0000,20220101 0000,15.4, ,INCHES
SWD,D,304,SNWCAVG,20220102 0000,20220102 0000,15.5, ,INCHES
SWD,D,304,SNWCAVG,20220103 0000,20220103 0000,15.5, ,INCHES
SWD,D,304,SNWCAVG,20220104 0000,20220104 0000,15.7, ,INCHES
SWD,D,304,SNWCAVG,20220105 0000,20220105 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220106 0000,20220106 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220107 0000,20220107 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220108 0000,20220108 0000,15.9, ,INCHES
SWD,D,304,SNWCAVG,20220109 0000,20220109 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220110 0000,20220110 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220111 0000,20220111 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220112 0000,20220112 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220113 0000,20220113 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220114 0000,20220114 0000,16.2, ,INCHES
SWD,D,304,SNWCAVG,20220115 0000,20220115 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220116 0000,20220116 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220117 0000,20220117 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220118 0000,20220118 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220119 0000,20220119 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220120 0000,20220120 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220121 0000,20220121 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220122 0000,20220122 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220123 0000,20220123 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220124 0000,20220124 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220125 0000,20220125 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220126 0000,20220126 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220127 0000,20220127 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220128 0000,20220128 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220129 0000,20220129 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220130 0000,20220130 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220131 0000,20220131 0000,15.9, ,INCHES
SWD,D,304,SNWCAVG,20220201 0000,20220201 0000,16.2, ,INCHES
SWD,D,304,SNWCAVG,20220202 0000,20220202 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220203 0000,20220203 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220204 0000,20220204 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220205 0000,20220205 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220206 0000,20220206 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220207 0000,20220207 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220208 0000,20220208 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220209 0000,20220209 0000,15.9, ,INCHES
SWD,D,304,SNWCAVG,20220210 0000,20220210 0000,15.9, ,INCHES
SWD,D,304,SNWCAVG,20220211 0000,20220211 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220212 0000,20220212 0000,15.7, ,INCHES
SWD,D,304,SNWCAVG,20220213 0000,20220213 0000,15.6, ,INCHES
SWD,D,304,SNWCAVG,20220214 0000,20220214 0000,15.5, ,INCHES
SWD,D,304,SNWCAVG,20220215 0000,20220215 0000,15.4, ,INCHES
SWD,D,304,SNWCAVG,20220216 0000,20220216 0000,15.4, ,INCHES
SWD,D,304,SNWCAVG,20220217 0000,20220217 0000,15.4, ,INCHES
SWD,D,304,SNWCAVG,20220218 0000,20220218 0000,15.4, ,INCHES
SWD,D,304,SNWCAVG,20220219 0000,20220219 0000,15.3, ,INCHES
SWD,D,304,SNWCAVG,20220220 0000,20220220 0000,15.3, ,INCHES
SWD,D,304,SNWCAVG,20220221 0000,20220221 0000,15.2, ,INCHES
SWD,D,304,SNWCAVG,20220222 0000,20220222 0000,15.3, ,INCHES
SWD,D,304,SNWCAVG,20220223 0000,20220223 0000,15.6, ,INCHES
SWD,D,304,SNWCAVG,20220224 0000,20220224 0000,15.6, ,INCHES
SWD,D,304,SNWCAVG,20220225 0000,20220225 0000,15.7, ,INCHES
SWD,D,304,SNWCAVG,20220226 0000,20220226 0000,15.7, ,INCHES
SWD,D,304,SNWCAVG,20220227 0000,20220227 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220228 0000,20220228 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220301 0000,20220301 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220302 0000,20220302 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220303 0000,20220303 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220304 0000,20220304 0000,15.7, ,INCHES
SWD,D,304,SNWCAVG,20220305 0000,20220305 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220306 0000,20220306 0000,15.9, ,INCHES
SWD,D,304,SNWCAVG,20220307 0000,20220307 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220308 0000,20220308 0000,16.1, ,INCHES
SWD,D,304,SNWCAVG,20220309 0000,20220309 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220310 0000,20220310 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220311 0000,20220311 0000,16.0, ,INCHES
SWD,D,304,SNWCAVG,20220312 0000,20220312 0000,15.9, ,INCHES
SWD,D,304,SNWCAVG,20220313 0000,20220313 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220314 0000,20220314 0000,15.8, ,INCHES
SWD,D,304,SNWCAVG,20220315 0000,20220315 0000,15.5, ,INCHES
SWD,D,304,SNWCAVG,20220316 0000,20220316 0000,15.4, ,INCHES
SWD,D,304,SNWCAVG,20220317 0000,20220317 0000,15.3, ,INCHES
SWD,D,304,SNWCAVG,20220318 0000,20220318 0000,15.1, ,INCHES
SWD,D,304,SNWCAVG,20220319 0000,20220319 0000,14.8, ,INCHES
SWD,D,304,SNWCAVG,20220320 0000,20220320 0000,14.9, ,INCHES
SWD,D,304,SNWCAVG,20220321 0000,20220321 0000,14.9, ,INCHES
SWD,D,304,SNWCAVG,20220322 0000,20220322 0000,14.5, ,INCHES
SWD,D,304,SNWCAVG,20220323 0000,20220323 0000,14.0, ,INCHES
SWD,D,304,SNWCAVG,20220324 0000,20220324 0000,13.2, ,INCHES
SWD,D,304,SNWCAVG,20220325 0000,20220325 0000,12.6, ,INCHES
SWD,D,304,SNWCAVG,20220326 0000,20220326 0000,11.9, ,INCHES
SWD,D,304,SNWCAVG,20220327 0000,20220327 0000,11.2, ,INCHES
SWD,D,304,SNWCAVG,20220328 0000,20220328 0000,10.7, ,INCHES
SWD,D,304,SNWCAVG,20220329 0000,20220329 0000,10.7, ,INCHES
