MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260324,CA,76.24,23.76,0.00,0.00,0.00,0.00,2026-03-24,2026-03-30,1
20260317,CA,84.32,15.68,0.00,0.00,0.00,0.00,2026-03-17,2026-03-23,1
20260310,CA,85.84,14.16,0.00,0.00,0.00,0.00,2026-03-10,2026-03-16,1
20260303,CA,100.00,0.00,0.00,0.00,0.00,0.00,2026-03-03,2026-03-09,1
20260224,CA,100.00,0.00,0.00,0.00,0.00,0.00,2026-02-24,2026-03-02,1
20260217,CA,99.30,0.70,0.00,0.00,0.00,0.00,2026-02-17,2026-02-23,1
20260210,CA,99.30,0.70,0.00,0.00,0.00,0.00,2026-02-10,2026-02-16,1
20260203,CA,99.30,0.70,0.00,0.00,0.00,0.00,2026-02-03,2026-02-09,1
20260127,CA,100.00,0.00,0.00,0.00,0.00,0.00,2026-01-27,2026-02-02,1
20260120,CA,100.00,0.00,0.00,0.00,0.00,0.00,2026-01-20,2026-01-26,1
20260113,CA,100.00,0.00,0.00,0.00,0.00,0.00,2026-01-13,2026-01-19,1
20260106,CA,100.00,0.00,0.00,0.00,0.00,0.00,2026-01-06,2026-01-12,1
20251230,CA,97.19,2.81,0.00,0.00,0.00,0.00,2025-12-30,2026-01-05,1
20251223,CA,88.31,11.69,0.00,0.00,0.00,0.00,2025-12-23,2025-12-29,1
20251216,CA,88.31,11.69,0.00,0.00,0.00,0.00,2025-12-16,2025-12-22,1
20251209,CA,91.10,8.90,0.00,0.00,0.00,0.00,2025-12-09,2025-12-15,1
20251202,CA,83.36,16.64,0.15,0.00,0.00,0.00,2025-12-02,2025-12-08,1
20251125,CA,81.01,18.99,6.53,0.15,0.00,0.00,2025-11-25,2025-12-01,1
20251118,CA,70.12,29.88,14.86,0.69,0.00,0.00,2025-11-18,2025-11-24,1
20251111,CA,49.04,50.96,31.86,9.58,0.00,0.00,2025-11-11,2025-11-17,1
20251104,CA,49.05,50.95,31.83,9.58,0.00,0.00,2025-11-04,2025-11-10,1
20251028,CA,47.18,52.82,31.83,9.58,1.10,0.00,2025-10-28,2025-11-03,1
20251021,CA,42.78,57.22,32.14,9.58,1.10,0.00,2025-10-21,2025-10-27,1
20251014,CA,27.30,72.70,38.52,15.64,1.25,0.00,2025-10-14,2025-10-20,1
20251007,CA,27.20,72.80,38.52,15.64,1.25,0.00,2025-10-07,2025-10-13,1
20250930,CA,26.78,73.22,38.52,18.61,1.25,0.00,2025-09-30,2025-10-06,1
20250923,CA,26.78,73.22,38.52,18.85,1.25,0.00,2025-09-23,2025-09-29,1
20250916,CA,26.78,73.22,39.56,23.00,3.49,0.00,2025-09-16,2025-09-22,1
20250909,CA,23.99,76.01,39.56,23.00,3.88,0.00,2025-09-09,2025-09-15,1
20250902,CA,23.99,76.01,39.56,23.01,4.70,0.00,2025-09-02,2025-09-08,1
20250826,CA,23.99,76.01,39.56,23.01,5.90,0.10,2025-08-26,2025-09-01,1
20250819,CA,23.99,76.01,39.56,23.01,5.90,0.10,2025-08-19,2025-08-25,1
20250812,CA,23.98,76.02,39.56,23.01,5.90,0.10,2025-08-12,2025-08-18,1
20250805,CA,23.98,76.02,39.56,23.01,5.90,0.10,2025-08-05,2025-08-11,1
20250729,CA,23.98,76.02,39.56,23.01,5.90,0.10,2025-07-29,2025-08-04,1
20250722,CA,23.98,76.02,39.56,23.01,5.90,0.10,2025-07-22,2025-07-28,1
20250715,CA,23.98,76.02,39.56,23.01,5.90,0.10,2025-07-15,2025-07-21,1
20250708,CA,23.99,76.01,39.27,23.01,5.90,0.10,2025-07-08,2025-07-14,1
20250701,CA,32.19,67.81,39.29,22.98,5.91,0.10,2025-07-01,2025-07-07,1
20250624,CA,32.17,67.83,39.29,22.98,5.91,0.10,2025-06-24,2025-06-30,1
20250617,CA,37.73,62.27,39.29,22.98,5.91,0.10,2025-06-17,2025-06-23,1
20250610,CA,39.01,60.99,39.29,22.98,5.91,0.10,2025-06-10,2025-06-16,1
20250603,CA,39.01,60.99,39.81,24.73,7.11,0.10,2025-06-03,2025-06-09,1
20250527,CA,40.22,59.78,39.81,24.73,7.11,0.10,2025-05-27,2025-06-02,1
20250520,CA,41.86,58.14,39.81,24.73,7.11,0.10,2025-05-20,2025-05-26,1
20250513,CA,41.86,58.14,39.81,24.73,7.11,0.10,2025-05-13,2025-05-19,1
20250506,CA,43.73,56.27,39.81,24.73,8.30,0.10,2025-05-06,2025-05-12,1
20250429,CA,43.73,56.27,39.81,24.73,8.30,0.73,2025-04-29,2025-05-05,1
20250422,CA,43.66,56.34,39.81,24.73,8.30,0.73,2025-04-22,2025-04-28,1
20250415,CA,43.71,56.29,39.81,24.73,8.30,0.73,2025-04-15,2025-04-21,1
20250408,CA,43.71,56.29,39.81,24.73,8.30,0.73,2025-04-08,2025-04-14,1
20250401,CA,43.71,56.29,39.81,24.73,11.77,0.73,2025-04-01,2025-04-07,1
20250325,CA,43.71,56.29,39.81,24.73,11.76,0.73,2025-03-25,2025-03-31,1
20250318,CA,42.90,57.10,39.81,24.73,11.76,0.73,2025-03-18,2025-03-24,1
20250311,CA,41.78,58.22,41.58,24.83,14.75,0.73,2025-03-11,2025-03-17,1
20250304,CA,41.82,58.18,41.58,24.83,14.75,0.73,2025-03-04,2025-03-10,1
20250225,CA,41.82,58.18,41.58,24.83,14.75,0.00,2025-02-25,2025-03-03,1
20250218,CA,41.82,58.18,41.58,24.83,14.75,0.00,2025-02-18,2025-02-24,1
20250211,CA,33.22,66.78,54.31,34.66,21.21,0.00,2025-02-11,2025-02-17,1
